ticker,name,lei,cik
DTE,DTE Energy Co,549300IX8SD6XXD71I78,0000936340
DTEA,DAVIDsTEA Inc,549300BWGV3Z6SBKQB54,0001627606
DTF,Duff & Phelps Tax-free Income,,
DTK,Deutsche Bank Contingent Capital Trust III,,
DTLK,Datalink Corp,,0001056923
DTO,DB Crude Oil Double Short ETN,,
DTSI,DTS Inc,,0001226308
DTUL,iPath US Treasury 2-year Bull ETN,,
DTUS,iPath US Treasury 2-year Bear ETN,,
DTV,DIRECTV ,,0001465112
DTYL,iPath US Treasury 10-year Bull ETN,,
DTYS,iPath US Treasury 10-year Bear ETN,,
DUC,Duff & Phelps Utility & Corporate Bond,,
DUK,Duke Energy Corp,I1BZKREC126H0VB1BL91,0001326160
DV,DeVry Education Group Inc,549300Z467EZLMODV621,0000730464
DVA,DaVita HealthCare Partners Inc,M2XHYMU3TZNEZURC6H66,0000927066
DVAX,Dynavax Technologies Corp,549300T5URIXWDILX594,0001029142
DVCR,Diversicare Healthcare Services Inc,,0000919956
DVD,Dover Motorsports Inc,,0001017673
DVHI,UBS ETRACS Diversified High Income ETN,,
DVHL,UBS ETRACS M Py 2xLvg Divers Hi Inc ETN,,
DVMT,Dell Technologies Inc,,0001571996
DVN,Devon Energy Corp,54930042348RKR3ZPN35,0001090012
DVYL,UBS ETRACS Mthly Py 2xLvg DJ Sel Div ETN,,
DW,Drew Industries Inc,,0000763744
DWA,DreamWorks Animation SKG Inc,549300UU8WEFIA03J487,0001297401
DWCH,Datawatch Corp,,0000792130
DWRE,Demandware Inc ,549300VXAFQU48T8DG35,0001301031
DWSN,Dawson Geophysical Co,549300R9G1EAMSMLXR09,0000799165
DWTI,VelocityShares 3x Inverse Crude Oil ETN,,
DX,Dynex Capital Inc,5CIJ4S9HAEBWILA19B65,0000826675
DXB,Deutsche Bank Contingent Capital Trust II,,
DXCM,DexCom Inc,,0001093557
DXI,DXI Energy Inc,,
DXLG,Destination XL Group Inc,,0000813298
DXM,Dex Media Inc ,,0001556739
DXPE,DXP Enterprises Inc,,0001020710
DXR,Daxor Corp,,0000027367
DXYN,Dixie Group Inc,549300MLTT5S33W3Q656,0000029332
DY,Dycom Industries Inc,549300F56EKTHQI3WT60,0000067215
DYAX,Dyax Corp ,,0000907562
DYN,Dynegy Inc,KBIQURE23BXCOWVJ9H03,0001379895
DYNT,Dynatronics Corp,,0000720875
DYSL,Dynasil Corporation of America,,0000030831
DYY,DB Commodity Double Long ETN,,
DZZ,DB Gold Double Short ETN,,
E,Eni SpA,BUCRF72VH5RBN7X3VL35,0001002242
EA,Electronic Arts Inc,549300O7A67PUEYKDL45,0000712515
EAA,Entergy Arkansas Inc,KYX6QEFGFXUFFAWLGG05,0000007323
EAC,Erickson Inc,54930048K1C8M9G3EI51,0001490165
EACQU,Easterly Acquisition Corp,,0001641197
EAD,Wells Fargo Income Opportunities Fund,,
EAGL,Double Eagle Acquisition Corp,,0001647088
EAGLU,Double Eagle Acquisition Corp,,
EARN,Ellington Residential Mortgage REIT,549300KA3MR2ZCRGA787,0001560672
EARS,Auris Medical Holding AG,549300JFK0RDL3EKDH83,0001601936
EAT,Brinker International Inc,,0000703351
EBAY,eBay Inc,OML71K8X303XQONU6T67,0001065088
EBF,Ennis Inc,,0000033002
EBIO,Eleven Biotherapeutics Inc,549300DGKHONOZQIY116,0001485003
EBIX,Ebix Inc,549300DHXVZR5SW5QR44,0000814549
EBMT,Eagle Bancorp Montana Inc,549300P2SVRIY3YU1412,0001478454
EBR,Centrais Eletricas Brasileiras SA,,0001439124
EBS,Emergent BioSolutions Inc,549300YW6TUOX8BE5103,0001367644
EBSB,Meridian Bancorp Inc,,0001600125
EBTC,Enterprise Bancorp Inc,,0001018399
EC,Ecopetrol SA,,0001444406
ECA,Encana Corp,CZ72ZHBVKZXQRV3XFE26,0001157806
ECACU,E-Compass Acquisition Corp,,0001625042
ECC,Eagle Point Credit Co LLC,,0001604174
ECCB,Eagle Point Credit Company Inc,,
ECCZ,Eagle Point Credit Company Inc,,
ECF,Ellsworth Growth and Income Fund Ltd,,
ECHO,Echo Global Logistics Inc,,0001426945
ECL,Ecolab Inc,82DYEISM090VG8LTLS26,0000031462
ECOL,US Ecology Inc,549300DG4KZA2L1YBS33,0000742126
ECOM,ChannelAdvisor Corp,549300KE5CWXBSGWXT83,0001169652
ECPG,Encore Capital Group Inc,5493000UVC6H49CIH830,0001084961
ECR,Eclipse Resources Corp,54930070862I62NN3X72,0001600470
ECT,ECA Marcellus Trust I,549300TUWTJF4UM52526,0001487798
ECTE,Echo Therapeutics Inc ,,0001031927
ECYT,Endocyte Inc,,0001235007
ED,Consolidated Edison Inc,54930033SBW53OO8T749,0001047862
EDAP,Edap Tms SA,,0001041934
EDD,Morgan Stanley Emerging Markets Domestic Fund,,
EDE,Empire District Electric Co,SODDIORBUCWXMHSFJ978,0000032689
EDF,Stone Harbor Emerging Markets Income Fund,,
EDGE,Edge Therapeutics Inc,5493002KU8ACFTSMC935,0001472091
EDGW,Edgewater Technology Inc,,0001017968
EDI,Stone Harbor Emerging Markets Total Income Fund,,
EDIT,Editas Medicine Inc,,0001650664
EDN,Empresa Distribuidora y Comercializadora Norte SA,,0001395213
EDR,Education Realty Trust Inc,,0001302343
EDS,Exceed Company Ltd ,,0001396016
EDU,New Oriental Education & Technology Group Inc,,0001372920
EDUC,Educational Development Corp,,0000031667
EE,El Paso Electric Co,OZ8GM8L4AHPKSWZMW205,0000031978
EEA,The European Equity Fund Inc,5493008XBHSH29XH9329,0000791718
EEFT,Euronet Worldwide Inc,YG3575C4DSHJPA5KET68,0001029199
EEH,ELEMENTS SPECTRUM Lg Cp US Sect Mom ETN,,
EEI,Ecology and Environment Inc,,0000809933
EEP,Enbridge Energy Partners LP,CZ6VG2MNE1J6YDI02G48,0000880285
EEQ,Enbridge Energy Management LLC ,,0001173911
EFC,Ellington Financial LLC,60GS1D1R1YY5G1W7IT74,0001411342
EFF,Eaton Vance Floating-Rate Income Plus Fund,,
EFII,Electronics for Imaging Inc,549300PN42C4XYPSEV84,0000867374
EFOI,Energy Focus Inc,549300WYLQHXWY3CWZ38,0000924168
EFR,Eaton Vance Senior Floating-Rate Trust,,
EFSC,Enterprise Financial Services Corp,,0001025835
EFT,Eaton Vance Floating-Rate Income Trust,,
EFUT,eFuture Holding Inc,,0001329365
EFX,Equifax Inc,5493004MCF8JDC86VS77,0000033185
EGAN,eGain Corp,,0001066194
EGAS,Gas Natural Inc,,0000043350
EGBN,Eagle Bancorp Inc,549300B47NZODRMG3D47,0001050441
EGF,BlackRock Enhanced Government Fund Inc.,,
EGHT,8x8 Inc,,0001023731
EGI,Entree Gold Inc,,0001271554
EGIF,Eagle Growth and Income Opportunities Fund,,
EGL,Engility Holdings Inc,549300DTJSGHLBZV3R70,0001544229
EGLE,Eagle Bulk Shipping Inc,,0001322439
EGLT,Egalet Corp,549300DGJO4K1JHYAA38,0001586105
EGN,Energen Corp,5493002ES6YDYGYRKG86,0000277595
EGO,Eldorado Gold Corp,5493004PWQ01YDD1IH62,0000918608
EGOV,NIC Inc,,0001065332
EGP,Eastgroup Properties Inc,31TIGQQZC4P6JMHKSW85,0000049600
EGRX,Eagle Pharmaceuticals Inc,549300TN20OLYTJVP152,0000827871
EGT,Entertainment Gaming Asia Inc,549300O2KPMC0PZ3UP12,0001004673
EGY,VAALCO Energy Inc,549300CFHFVIWB8M6T24,0000894627
EHI,Western Asset Global High Income Fund,549300JWVV1XIQ66WD13,0001228509
EHIC,eHi Car Services Ltd,549300S8KJWK9EJS6Z44,0001517492
EHT,Eaton Vance High Income 2021 Target Term Trust,,
EHTH,Ehealth Inc,,0001333493
EIA,Eaton Vance California Municipal Bond Fund II,,
EIG,Employers Holdings Inc,,0001379041
EIGI,Endurance International Group Holdings Inc,549300UTQC2651SB0W88,0001237746
EIM,Eaton Vance Municipal Bond Fund,,0001176984
EIO,Eaton Vance Ohio Municipal Bond Fund,,
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,,
EIV,Eaton Vance Municipal Bond Fund II,,
EIX,Edison International,,0000827052
EJ,E-House China Holdings Ltd,,0001405658
EKSO,Ekso Bionics Holdings Inc,,0001549084
EL,Estee Lauder Companies Inc,549300VFZ8XJ9NUPU221,0001001250
ELA,"Entergy Louisiana, Llc",0V5453U14HDZO63CGH17,0001348952
ELB,Entergy Louisiana LLC,,0000060527
ELC,Entergy Louisiana LLC,,0001021422
ELECU,Electrum Special Acquisition Corp,,0001639669
ELF,e.l.f. Beauty Inc,,0001600033
ELGX,Endologix Inc,54930019J6DOUCNZDI85,0001013606
ELLI,Ellie Mae Inc,,0001122388
ELLO,Ellomay Capital Ltd,,0000946394
ELMD,Electromed Inc,,0001488917
ELNK,Earthlink Holdings Corp,549300D94AA0WSMRET75,0001102541
ELON,Echelon Corp,549300PTSGJIQ6DISV79,0000031347
ELOS,Syneron Medical Ltd,,0001291361
ELP,Companhia Paranaense de Energia,,0000924250
ELRC,Electro Rent Corp,549300L5Z681EV5LDY95,0000032166
ELS,Equity LifeStyle Properties Inc,,0000895417
ELSE,Electro-Sensors Inc,,0000351789
ELTK,Eltek Ltd,,0001024672
ELX,Emulex Corporation,5493002B22MU8YYQTJ19,0000350917
ELY,Callaway Golf Co,5493005UB0KFRKBPCU72,0000837465
EMAN,eMagin Corp,,0001046995
EMC,EMC Corp,KDMDXRWU7UTJ30FC8R59,0000790070
EMCF,Emclaire Financial Corp,,0000858800
EMCI,EMC Insurance Group Inc,,0000356130
EMD,Western Asset Emerging Markets Income,549300CU5O287B86W321,0000902978
EME,EMCOR Group Inc,,0000105634
EMES,Emerge Energy Services LP,549300ACHJ087QYYKP06,0001555177
EMF,Templeton Emerging Markets Fund Inc.,,
EMI,Eaton Vance Michigan Municipal Income Trust,,
EMITF,Elbit Imaging Ltd,549300UWRB10FFBCZQ53,0001027662
EMJ,Eaton Vance New Jersey Municipal Bond Fund,,
EMKR,EMCORE Corp,,0000808326
EML,Eastern Co,,0000031107
EMLB,iPath Long Enhanced MSCI Emerg Mkts ETN,,
EMMS,Emmis Communications Corp,D4460PKD5XG25GNWT422,0000783005
EMN,Eastman Chemical Co,FDPVHDGJ1IQZFK9KH630,0000915389
EMO,ClearBridge Energy MLP Opportunity Fund,,0001517518
EMQ,Entergy Mississippi Inc,FKUZOUT82DOBGXFS6K20,0000066901
EMR,Emerson Electric Co,FGLT0EWZSUIRRITFOA30,0000032604
EMSA,iPath Short Enh MSCI Emerg Mkts ETN,,
EMXX,Eurasian Minerals Inc,,0001285786
ENB,Enbridge Inc,98TPTUM4IVMFCZBCUR27,0000895728
ENBL,Enable Midstream Partners LP,549300TLGDBYE711G509,0001591763
ENCR,Ener-Core Inc ,,0001495536
ENDP,Endo International PLC,5493007TBMWZWGZIB256,0001593034
ENFC,Entegra Financial Corp,,0001522327
ENG,ENGlobal Corp,,0000933738
ENH,Endurance Specialty Holdings Ltd,,0001179755
ENI,Enersis Americas SA,,0000912505
ENIC,Enersis Chile SA,,0001659939
ENJ,Entergy New Orleans Inc,1Q8BAFRNDFTDI3IGJH73,0000071508
ENL,Relx NV,549300XO8R7MPISUO753,0000929872
ENLC,EnLink Midstream LLC,,0001592000
ENLK,EnLink Midstream Partners LP,88CPW63VL7KHJWS0NY83,0001179060
ENOC,EnerNOC Inc,549300XD2LTN7FGWHK96,0001244937
ENPH,Enphase Energy Inc,5493008U7KIGMI59Z314,0001463101
ENR,Energizer Holdings Inc,5493000D6NN0V57UME20,0001632790
ENRJ,EnerJex Resources Inc,5493007TRVZ53BHRWE03,0000008504
ENS,EnerSys,7ZS3DE5PN30BYUJFWP05,0001289308
ENSG,Ensign Group Inc,5493003K4HEEA8Q0BC72,0001125376
ENSV,Enservco Corp,549300WG7L7HUSMVC188,0000319458
ENT,Global Eagle Entertainment Inc,5493000LLKPEGV8XVG26,0001512077
ENTA,Enanta Pharmaceuticals Inc,,0001177648
ENTG,Entegris Inc,IYX6OWO7BT5DKO3BYG52,0001101302
ENTL,Entellus Medical Inc,549300PSNHNLU4B1DV02,0001374128
ENTR,"Entropic Communications, Inc.",U39EOJXC0QOYE1WZXQ50,0001227930
ENV,Envestnet Inc,549300HLWZ5OKIDM8737,0001337619
ENVA,Enova International Inc,549300O8XOCQSB49UO63,0001529864
ENVI,Envivio Inc ,,0001174266
ENX,Eaton Vance New York Municipal Bond Fund,,
ENZ,Enzo Biochem Inc,,0000316253
ENZN,Enzon Pharmaceuticals Inc ,,0000727510
ENZY,Enzymotec Ltd,,0001578809
EOC,Empresa Nacional de Electricidad SA,549300PVHXUFEIE6LY50,0000926864
EOCA,Endesa Americas SA,,0001660078
EOD,Wells Fargo Global Dividend Opportunity Fund,,
EOG,EOG Resources Inc,XWTZDRYZPBUHIQBKDB46,0000821189
EOI,Eaton Vance Enhanced Equity Income Fund,,
EOS,Eaton Vance Enhanced Equity Income Fund II,,
EOT,Eaton Vance National Municipal Opportunities Trust,,
EOX,Emerald Oil Inc ,549300YTRWJAV7NLQD54,0001283843
EPAM,EPAM Systems Inc,549300XCR4R530HJP604,0001352010
EPAX,Ambassadors Group Inc ,549300OB7VCY3YPDVO02,0001162315
EPAY,Bottomline Technologies (DE) Inc,OJ3Q4KYIXDSSGURLMT36,0001073349
EPC,Edgewell Personal Care Co,549300CY8QZDL4Z3RU59,0001096752
EPD,Enterprise Products Partners LP,K4CDIF4M54DJZ6TB4Q48,0001061219
EPE,EP Energy Corp,549300Z6HPQS1H5IYQ07,0001584952
EPIQ,Epiq Systems Inc,I5PAA1AT6EWYG27J8V27,0001027207
EPIX,ESSA Pharma Inc,,0001027702
EPM,Evolution Petroleum Corp,549300P9ZXGJZ6SSM116,0001006655
EPR,EPR Properties,549300YSSXFHMPOWZ492,0001045450
EPRS,EPIRUS Biopharmaceuticals Inc,549300B6OBAWAZGW2N50,0001135906
EPZM,Epizyme Inc,549300TNFWF88O4U4605,0001571498
EQBK,Equity Bancshares Inc,549300BPQ2EJNU4WF694,0001227500
EQC,Equity Commonwealth,,0000803649
EQFN,Equitable Financial Corp,,0001635626
EQGP,EQT GP Holdings LP,,0001632933
EQIX,Equinix Inc,549300EVUN2BTLJ3GT74,0001101239
EQM,EQT Midstream Partners LP,,0001540947
EQR,Equity Residential,,0000906107
EQS,EQUUS Total Return Inc,,0000878932
EQT,EQT Corp,4NT01YGM4X7ZX86ISY52,0000033213
EQY,Equity One Inc,54930052LBJBIKJPIO43,0001042810
ERA,Era Group Inc,,0001525221
ERB,ERBA Diagnostics Inc,,0001095858
ERC,Wells Fargo Multi-Sector Income Fund,,
ERF,Enerplus Corp,549300OEXJU0X6FYBQ42,0001126874
ERH,Wells Fargo Utilities and High Income Fund,,
ERI,Eldorado Resorts Inc,,0001590895
ERIC,Telefonaktiebolaget LM Ericsson,549300W9JLPW15XIFM52,0000717826
ERIE,Erie Indemnity Co,,0000922621
ERII,Energy Recovery Inc,549300ZEQL52Z525WJ22,0001421517
ERJ,Embraer SA,,0001117603
ERO,iPath EUR/USD Exchange Rate ETN,,
EROC,Eagle Rock Energy Partners LP ,9JBID15KK3RNPBKP6U32,0001364541
EROS,Eros International PLC,,0001532981
ERS,Empire Resources Inc,549300UPJCM06YDHN048,0001019272
ES,Eversource Energy,SJ7XXD41SQU3ZNWUJ746,0000072741
ESBA,Empire State Realty OP LP,,0001553079
ESBK,Elmira Savings Bank,,0000877808
ESCA,Escalade Inc,,0000033488
ESCR,Escalera Resources Co ,549300SL54IQEPX62M18,0000029834
ESD,Western Asset Emerging Markets Debt Fund Inc,549300F68574RU1BKP84,0001227862
ESE,ESCO Technologies Inc,5493007JJLP5MEWVDH10,0000866706
ESEA,Euroseas Ltd,,0001341170
ESES,Eco-Stim Energy Solutions Inc,,0001135657
ESGR,Enstar Group Ltd,213800AMAL5QFXVUCN04,0001363829
ESI,ITT Educational Services Inc,,0000922475
ESIO,Electro Scientific Industries Inc,549300PGXKEY7VEHBK50,0000726514
ESL,Esterline Technologies Corp,549300TS340K3LI25S90,0000033619
ESLT,Elbit Systems Ltd,,0001027664
ESMC,Escalon Medical Corp,,0000862668
ESNT,Essent Group Ltd,,0001448893
ESP,Espey MFG and Electronics Corp,,0000033533
ESPR,Esperion Therapeutics Inc,549300OFU56UKEWVUS92,0001434868
ESRT,Empire State Realty Trust Inc,549300VOKY1DUEQSB456,0001541401
ESRX,Express Scripts Holding Co,5493003UA6VMND084504,0001532063
ESS,Essex Property Trust Inc,,0000920522
ESSA,ESSA Bancorp Inc,,0001382230
ESSX,Essex Rental Corp ,,0001373988
ESTE,Earthstone Energy Inc,54930081UTV7CK45XG14,0000010254
ESV,Ensco PLC,7N0UJMJLXD0MDT5D5086,0000314808
ESXB,Community Bankers Trust Corp,,0001323648
ETAK,Elephant Talk Communications Corp,,0001084384
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,,
ETE,Energy Transfer Equity LP,MTLVN9N7JE8MIBIJ1H73,0001276187
ETF,"Aberdeen Emerging Markets Smaller Co Opportunities Fund, Inc.",,0000913662
ETFC,E*TRADE Financial Corp,549300LYE2HSVYJFJD24,0001015780
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,,
ETH,Ethan Allen Interiors Inc,,0000896156
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,,
ETM,Entercom Communications Corp,,0001067837
ETN,Eaton Corporation PLC,549300VDIGTMXUNT7H71,0001551182
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,,
ETP,Energy Transfer Partners LP,RY1052DWLDPLDW74Y843,0001012569
ETR,Entergy Corp,4XM3TW50JULSLG8BNC79,0000065984
ETRM,EnteroMedics Inc,54930062V8N9YRX8R388,0001371217
ETSY,Etsy Inc,54930089Q7XT501AEA40,0001370637
ETX,Eaton Vance Municipal Income 2028 Term Trust,,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,,
EURN,Euronav NV,549300D80RYON74MEJ03,0001604481
EV,Eaton Vance Corp,4JJ8ORNW1AFZPSV8GJ79,0000350797
EVA,Enviva Partners LP,549300WH5VXDEFM5KR81,0001592057
EVAR,Lombard Medical Inc,,0001597426
EVBG,Everbridge Inc,,
EVBN,Evans Bancorp Inc,,0000842518
EVBS,Eastern Virginia Bankshares Inc,549300VP7AD9L9J1W919,0001047170
EVC,Entravision Communications Corp,549300SKHY2ALCLKV539,0001109116
EVDY,Everyday Health Inc,549300YYYRKJ4CQ8D086,0001358483
EVEP,EV Energy Partners LP,,0001361937
EVER,EverBank Financial Corp,549300ZSQX8IP0RAE826,0001502749
EVF,Eaton Vance Senior Income Trust,,0001070732
EVG,Eaton Vance Short Duration Diversified Income Fund,,
EVGBC,Eaton Vance Global Income Builder NextShares,,
EVGN,Evogene Ltd,,0001574565
EVH,Evolent Health Inc,,0001628908
EVHC,Envision Healthcare Holdings Inc,,0001578318
EVI,Envirostar Inc,,0000065312
EVJ,Eaton Vance New Jersey Municipal Income Trust,,
EVK,Ever-Glory International Group Inc,,0000943184
EVLMC,Eaton Vance TABS 5-15 Yr Laddered Muni Bd NxtShs,,
EVLV,EVINE Live Inc,,0000870826
EVM,Eaton Vance California Municipal Bond Fund,,
EVN,Eaton Vance Municipal Income Trust,,
EVO,Eaton Vance Ohio Municipal Income Trust,,
EVOK,Evoke Pharma Inc,,0001403708
EVOL,Evolving Systems Inc,,0001052054
EVP,Eaton Vance Pennsylvania Municipal Income Trust,,
EVR,Evercore Partners Inc,,0001360901
EVRY,EveryWare Global Inc ,549300CPPOE32YM1QQ27,0001532543
EVSTC,Eaton Vance Stock NextShares,,
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,,
EVTC,Evertec Inc,,0001559865
EVV,Eaton Vance Limited Duration Income Fund,NZ7KR43H6Z5W1GY0QX46,0001222922
EVY,Eaton Vance New York Municipal Income Trust,,
EW,Edwards Lifesciences Corp,YA13X31F3V31L8TMPR58,0001099800
EWBC,East West Bancorp Inc,,0001069157
EXA,Exa Corp,,0000890264
EXAC,Exactech Inc,549300B1BI1XN672F813,0000913165
EXAM,ExamWorks Group Inc,VPQEY6SB0BUIVT13IV95,0001498021
EXAR,Exar Corp,549300RJBN2RGOX13L66,0000753568
EXAS,Exact Sciences Corp,,0001124140
EXC,Exelon Corp,3SOUA6IRML7435B56G12,0001109357
EXD,Eaton Vance Tax-Advantaged Bond and Options Strategies Fund,,
EXEL,Exelixis Inc,,0000939767
EXFO,EXFO Inc,549300NZ7SG77DGFZD61,0001116284
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,,
EXH,Archrock Inc,549300K3RIHMHDVFTL28,0001389050
EXK,Endeavour Silver Corp,,0001277866
EXL,Excel Trust Inc ,,0001478950
EXLP,Archrock Partners LP,549300YFKOM2XNCKQU76,0001367064
EXLS,Exlservice Holdings Inc,81E3DTNF6OSH489ZOV15,0001297989
EXP,Eagle Materials Inc,,0000918646
EXPD,Expeditors International of Washington Inc,,0000746515
EXPE,Expedia Inc,CI7MUJI4USF3V0NJ1H64,0001324424
EXPO,Exponent Inc,,0000851520
EXPR,Express Inc,,0001483510
EXR,Extra Space Storage Inc,,0001289490
EXTN,Exterran Corp,,0001635881
EXTR,Extreme Networks Inc,549300WRECW11X94UB57,0001078271
EXXI,Energy XXI Ltd ,,0001343719
EYEG,EyeGate Pharmaceuticals Inc,549300395G8DB8ZFV365,0001372514
EYES,Second Sight Medical Products Inc,,0001266806
EZCH,EZchip Semiconductor Ltd ,,0000892534
EZPW,EZCORP Inc,5493003K6PG3ZQ7TUQ63,0000876523
EZT,Entergy Texas Inc,LWXX58X12AJXISQ28573,0001427437
F,Ford Motor Co,20S05OYHG0MQM4VUIC57,0000037996
FAC,First Acceptance Corp,,0001017907
FAF,First American Financial Corp,549300B6VEZK3N0A1P55,0001472787
FALC,FalconStor Software Inc,,0000922521
FAM,First Trust/Aberdeen Global Opportunity Income Fund,2HCZRZBY990FDYBUS727,0001302624
FANG,Diamondback Energy Inc,549300R22LSX6OHWEN64,0001539838
FANH,Fanhua Inc,,
FARM,Farmer Bros. Co,5493006PMLETBTVJ3262,0000034563
FARO,FARO Technologies Inc,,0000917491
FAST,Fastenal Co,,0000815556
FATE,Fate Therapeutics Inc,549300L14Q4UHOODLA90,0001434316
FAV,First Trust Dividend and Income Fund,549300WKCNS6YOB06X37,0001403275
FAX,Aberdeen Asia-Pacific Income Fund Inc,,
FB,Facebook Inc,BQ4BKCS1HXDV9HN80Z93,0001326801
FBC,Flagstar Bancorp Inc,,0001033012
FBG,UBS AG FI Enhanced Big Cap Growth ETN,,
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,,
FBHS,Fortune Brands Home & Security Inc,54930032LHW54PQUJD44,0001519751
FBIZ,First Business Financial Services Inc ,,0001521951
FBK,FB Financial Corp,,0001649749
FBMS,First Bancshares Inc,,0000947559
FBNC,First Bancorp,549300QGC3EY3EV0NS72,0000811589
FBNK,First Connecticut Bancorp Inc,,0001511198
FBP,First Bancorp,,0001057706
FBR,Fibria Celulose SA,,0001110649
FBRC,FBR & Co,,0001371446
FBSS,Fauquier Bankshares Inc,549300JHIFSXWWFIXB60,0001083643
FC,Franklin Covey Co,,0000886206
FCAM,Fiat Chrysler Automobiles NV,549300LKT9PW7ZIBDF31,0001605484
FCAP,First Capital Inc,,0001070296
FCB,FCB Financial Holdings Inc,,0001476651
FCBC,First Community Bancshares Inc,,0000859070
FCCO,First Community Corp,,0000932781
FCCY,1st Constitution Bancorp,,0001141807
FCE.A,Forest City Realty Trust Inc,54930078MCT017XXRD21,0001647509
FCEL,FuelCell Energy Inc,549300SRU8020X1X9J22,0000886128
FCF,First Commonwealth Financial Corp,,0000712537
FCFP,First Community Financial Partners Inc,549300BYHCL3EAF7RQ63,0001469134
FCFS,First Cash Financial Services Inc,549300V2X3UU7K0DG350,0000840489
FCH,Felcor Lodging Trust Inc,54930040SGJ6BYSKO011,0000923603
FCLF,First Clover Leaf Financial Corp,,0001283582
FCN,FTI Consulting Inc,549300K17GM8EQD0FQ48,0000887936
FCNCA,First Citizens BancShares Inc,549300N3Z00ZHE2XC526,0000798941
FCO,Aberdeen Global Income Fund Inc.,,
FCPT,Four Corners Property Trust Inc,,0001650132
FCS,Fairchild Semiconductor International Inc,,0001036960
FCSC,Fibrocell Science Inc,549300BBW7Z68RC6RV83,0000357097
FCT,First Trust Senior Floating Rate Income Fund II,549300188EQ1UO018C30,0001282850
FCTY,1st Century Bancshares Inc ,FQ9OWD2JWZV45R7F9T38,0001420525
FCVA,First Capital Bancorp Inc ,549300U55W8QFK2YTK38,0001263814
FCX,Freeport-McMoRan Inc,,0000831259
FCZA,Civista Bancshares Inc,5493001LX61Z2UVYSC48,0000944745
FDC,First Data Corp,H9AD9QN07EKOX2GRN450,0000883980
FDEF,First Defiance Financial Corp,,0000946647
FDEU,First Trust Dynamic Europe Equity Income Fund,,0001646109
FDI,Fort Dearborn Income Securities Inc,549300YMO5DWGZ9DG588,0000038188
FDML,Federal-Mogul Holdings Corp,549300D27J7YTV3PWE40,0001419581
FDO,Family Dollar Stores Inc ,,0000034408
FDP,Fresh Del Monte Produce Inc,,0001047340
FDS,FactSet Research Systems Inc,549300ZSJE7NBK6K9P30,0001013237
FDUS,Fidus Investment Corp,,0001513363
FDX,FedEx Corp,549300E707U7WNPZN687,0001048911
FE,FirstEnergy Corp,549300SVYJS666PQJH88,0001031296
FEEU,Barclays ETN+ FI Enhanced Europe 50,,
FEI,First Trust MLP and Energy Income Fund Common,,0001556336
FEIC,FEI Co,ENU6JE4QCEWJ9YIZ4340,0000914329
FEIM,Frequency Electronics Inc,549300S56SO2JB5JBE31,0000039020
FELE,Franklin Electric Co Inc,RR6AURIKMXUE4Q24G284,0000038725
FELP,Foresight Energy LP,549300HM3UR1W0JJ7F28,0001540729
FEN,First Trust Energy Income and Growth Fund,549300HRXN2LWON4NG81,0001284940
FENG,Phoenix New Media Ltd,,0001509646
FENX,Fenix Parts Inc,,0001615153
FEO,First Trust/Aberdeen Emerging Opportunity Fund,700UQMDEFIFKNKMN0L14,0001363438
FES,Forbes Energy Services Ltd,,0001434842
FET,Forum Energy Technologies Inc,549300SF93HLCR1REE27,0001401257
FEYE,FireEye Inc,549300E9D2UJUFLLY524,0001370880
FF,FutureFuel Corp,,0001337298
FFA,First Trust Enhanced Equity Income Fund,,0001291334
FFBC,First Financial Bancorp,,0000708955
FFG,FBL Financial Group Inc,,0001012771
FFHL,Fuwei Films Holdings Co Ltd,,0001381074
FFIC,Flushing Financial Corp,,0000923139
FFIN,First Financial Bankshares Inc,,0000036029
FFIV,F5 Networks Inc,,0001048695
FFKT,Farmers Capital Bank Corp,,0000713095
FFNM,First Federal of Northern Michigan Bancorp Inc ,,0001128227
FFNW,First Financial Northwest Inc,,0001401564
FFWM,First Foundation Inc,,0001413837
FGB,First Trust Special Finance and Financial Opportunities Fund,,0001392994
FGBI,First Guaranty Bancshares Inc,,0001408534
FGEN,FibroGen Inc,549300Q914ULWWY95822,0000921299
FGL,Fidelity & Guaranty Life,549300UJJCG16YY1N573,0001585064
FGP,Ferrellgas Partners LP,,0000922358
FHB,First Hawaiian Inc,,0000036377
FHCO,Female Health Co,,0000863894
FHN,First Horizon National Corp,TF3RXI1ZB1TQ30H9JV10,0000036966
FHY,First Trust Strategic High Income Fund II,549300FF5P2KY10N0B64,0001329388
FI,Frank's International NV,724500LJYA8QIT73H017,0001575828
FIBG,Credit Suisse FI Enhanced Big Cap Gr ETN,,
FIBK,First Interstate BancSystem Inc,,0000860413
FICO,Fair Isaac Corp,RI6HET5SJUEY30V1PS26,0000814547
FIEE,UBS AG FI Enhanced Europe 50 ETN,,
FIEG,DB FI Enhanced Global High Yield ETN,,
